path,bytes,sha256,extension,license_status,license_evidence,technical_status,width,height
itch/loose/butchershop_3.png,17684,7180efcf782fc646e48f431d66950a78dce1e902a764faa2fd731c40e50d7b78,png,covered_by_folder_license,itch/loose/license.txt,ok_png,384,528
itch/loose/carved_doorgate_bg_addon_3x.png,1476,6914e95d85fa488aa70d196faf16208d520eb56b214d2a5e54defea7c393a36b,png,covered_by_folder_license,itch/loose/license.txt,ok_png,384,240
itch/loose/carved_doorgate_black_e_3x.png,110552,fc1797b5f5ee2ae2ea4105a5233160f4c49df3f124e75188141845a7eb5d2649,png,covered_by_folder_license,itch/loose/license.txt,ok_png,2304,1920
itch/loose/carved_doorgate_wood_e_3x.png,112036,6a800850e8a9c48c968ad5c8569a3e7cb7500c042b9eb99ca0da8cba6c9cbafc,png,covered_by_folder_license,itch/loose/license.txt,ok_png,2304,1920
itch/loose/casting_basea_3.png,5634,ac345fffc785f2e285ecd8e5723ac3f2c3eff18bee854ea4f4f4796caf15afa4,png,covered_by_folder_license,itch/loose/license.txt,ok_png,234,432
itch/loose/casting_baseb_3.png,5092,370965367365f5ad821945472fceb08cb082f3846c07c89a9ba15e84c48f345d,png,covered_by_folder_license,itch/loose/license.txt,ok_png,234,432
itch/loose/catacombs_p_3x.png,13104,fffd8eafcf46555d47390514558597f7a4abac1be6acc726e08a9bb4c01c3f04,png,covered_by_folder_license,itch/loose/license.txt,ok_png,384,336
itch/loose/caveladders3.png,6489,4b5c78d227c5b0585f918760548f4f7c3dd3ea470fc95cee4eb0a24e777e3c23,png,covered_by_folder_license,itch/loose/license.txt,ok_png,528,384
itch/loose/caveladders3b.png,7922,491f2db660a3c4e31bdd40386e0af2a6c6ace5324b627c40e87b355b6e196149,png,covered_by_folder_license,itch/loose/license.txt,ok_png,624,384
itch/loose/cellmonsters_3.png,11005,95315a0d0140044f8d6555719caebb5d18a1a711d650ca30615f99aa31bfca80,png,covered_by_folder_license,itch/loose/license.txt,ok_png,432,576
itch/loose/centurion_3x.png,1942,95c44d0b0f4190900e37aa3cf24951db922fade7c4a8ced871245c5eec4677cd,png,covered_by_folder_license,itch/loose/license.txt,ok_png,144,144
itch/loose/centurion_shield_3x.png,2246,a7c1b0cddb1239d4c27114ad5ae73d06231f17197ecafa752c8ffad1d3d50669,png,covered_by_folder_license,itch/loose/license.txt,ok_png,192,144
itch/loose/chalk-cliffs_3.png,16753,d9a2d779ff085bf90707ff079e8654b72ad368bce38985457e17a4070681384c,png,covered_by_folder_license,itch/loose/license.txt,ok_png,384,768
itch/loose/chameleon_3x.png,5586,59dec0b9801291a547208f07188694334fb282d976243c4f01d76f3cbbc96911,png,covered_by_folder_license,itch/loose/license.txt,ok_png,378,432
itch/loose/chests_8_new_3.png,34884,12223a5ef249446275ed33f9595f3b39434971e70406f55ea5d883c2509c9a24,png,covered_by_folder_license,itch/loose/license.txt,ok_png,936,864
itch/loose/chocobos_saddle_3.png,42358,291f63a34ff85abbbe7683c78a6289ac05d871354fbc280be54573a995ec1af7,png,covered_by_folder_license,itch/loose/license.txt,ok_png,1368,864
itch/loose/churchbell_even_3.png,5153,c40cc90131bbf50aeda9250923a13bdf519ece3bbe6f9739ada32bf24f0e833e,png,covered_by_folder_license,itch/loose/license.txt,ok_png,288,384
itch/loose/churchbell_wide_3.png,5856,7e8159a4b7b463e45cbcfb456eb336b6d608114d3c530cebb41be3ad23d7fc57,png,covered_by_folder_license,itch/loose/license.txt,ok_png,432,384
itch/loose/cloudcity_worldmap_3.png,12243,10034ddfa85156fb8d59f02918ea4d4701e5d469044efb66eb009d7204c0ddba,png,covered_by_folder_license,itch/loose/license.txt,ok_png,768,288
itch/loose/colosseum_world_3.png,10563,1a2d960981eaeb3098a1febeb1177b046a9aae638f9243af55132edd98606e0d,png,covered_by_folder_license,itch/loose/license.txt,ok_png,432,336
itch/loose/conscript_3x.png,2074,74124e862fcf9c6edd257d07a54a101cf2372f3277e9682efc370516a6be6122,png,covered_by_folder_license,itch/loose/license.txt,ok_png,144,144
itch/loose/controller_ui_3.png,14211,c993467c2fbdb456a4a421d35d76bbd5ac06e3359f54fdbacc67862ee55cf747,png,covered_by_folder_license,itch/loose/license.txt,ok_png,816,384
itch/loose/countertop_addon_e3.png,11966,ca99da4f576b695b832c8002de6a4c08fdbbb28bfe027a88fb6dcd91173a05b8,png,covered_by_folder_license,itch/loose/license.txt,ok_png,384,384
