archive,archive_sha256,archive_bytes,scan_status,license_entry_count,license_entries,license_snippets,all_entry_count,error_tail
more assets to ingest/foozle/Void - Pickups Pack/Void - Pickups Pack.zip,6c9eaa32d213ea7c2d275d5e4b525a143b4a6c9c552cd9bad9d46cc474199b94,57474,license_evidence_found,1,Foozle_2DS0016_Void_PickupsPack\Readme.txt,"Foozle_2DS0016_Void_PickupsPack\Readme.txt: ------------------------------ Void - Pickups Pack (1.0) Commissioned from: Baldur (https://twitter.com/the__baldur) Distributed by Foozle (www.foozle.io) ------------------------------ License: (Creative Commons Zero, CC0) http://creativecommons.org/publicdomain/zero/1.0/ This content is free to use and modify for all projects, including commercial projects. Attribution not required. If you would like to support, consider a voluntary donation. ------------------------------ Donate: https://foozlecc.itch.io/ Patreon: https://www.patreon.com/bePatron?u=48464594 Follow on YouTube and Twitter for updates: https://www.youtube.com/c/FoozleCC http://twitter.com/FoozleCC",26,
more assets to ingest/GGBotNet Fonts/GGBotNet_Fonts_CC0_2025_Dec.zip,8c34467967734947ee524a8f32344503b4ba272153671920e422c4e5f6026d84,22339475,license_evidence_found,2,GGBotNet Fonts CC0\LICENSE | GGBotNet Fonts CC0\README.md,"GGBotNet Fonts CC0\LICENSE: Creative Commons Legal Code CC0 1.0 Universal CREATIVE COMMONS CORPORATION IS NOT A LAW FIRM AND DOES NOT PROVIDE LEGAL SERVICES. DISTRIBUTION OF THIS DOCUMENT DOES NOT CREATE AN ATTORNEY-CLIENT RELATIONSHIP. CREATIVE COMMONS PROVIDES THIS INFORMATION ON AN ""AS-IS"" BASIS. CREATIVE COMMONS MAKES NO WARRANTIES REGARDING THE USE OF THIS DOCUMENT OR THE INFORMATION OR WORKS PROVIDED HEREUNDER, AND DISCLAIMS LIABILITY FOR DAMAGES RESULTING FROM THE USE OF THIS DOCUMENT OR THE INFORMATION OR WORKS PROVIDED HEREUNDER. Statement of Purpose The laws of most jurisdictions throughout the world automatically confer exclusive Copyright and Related Rights (defined below) upon the creator and subsequent owner(s) (each and all, an ""owner"") of an original work of authorship and/or a database (each, a ""Work""). Certain owners wish to permanently relinquish those rights to a Work for the purpose of contributing to a commons of creative, cultural and scientific works (""Commons"") that the public can reliabl || GGBotNet Fonts CC0\README.md: # GGBotNet Fonts CC0 ![](PREVIEW.png) ## License Please read file ""[LICENSE](LICENSE)"" for details. ## Credits **Type designer**\ GGBotNet",453,
more assets to ingest/haydeos/Elven Forest Asset Pack/Elven Forest Asset Pack.zip,b10b1cfc46bc2a5c1d3322715a071346b42973d1689bcfc680d5994483e5df0a,549803,no_license_entry_found,0,,,3,
more assets to ingest/haydeos/Factory Monster Pack 1/Factory Monster Pack 1.zip,20abec1e1e29819b00db6d76564af9012a7fada7390bb314687bf20d52da85cf,109341,no_license_entry_found,0,,,11,
more assets to ingest/haydeos/Ferrum Junkyard Heroes/Junkyard Heroes.zip,0cc3b1a72f2f1b2c0626aa2b7899c5d16142075aac3b84183cafce9e789fb5d5,16765337,no_license_entry_found,0,,,37,
more assets to ingest/haydeos/Great War RPG Maker Houses/Great War RPG Maker Houses.zip,6efa86dd0b03619616caf88012596d3dcfae6b058d5d0413f83244c7e3ca8ccd,677515,no_license_entry_found,0,,,3,
more assets to ingest/haydeos/High Fantasy Heroes/High Fantasy Heroes.zip,ba708b186ecc76b0f6f3866dca799640b24030d6b5edbc6d861cb0aa3382cad3,4543987,no_license_entry_found,0,,,26,
more assets to ingest/low poly models/Amir Pack/Amir - Forest Nature Pack/Amir - Forest Nature Pack.rar,ec5f0fa5296f15f9933a47aae06d3cb5f602b8b4ecda8d273b6f7a154e83e744,15085083,no_license_entry_found,0,,,503,
more assets to ingest/low poly models/Amir Pack/Amir - Low Poly Modular Characters Across Time/Amir - Low Poly Modular Characters Across Time.zip,f4ecdd2166a89545fbadf467e0cd162468903f14d8a003c1d424d1741d6c9fa7,8515741,no_license_entry_found,0,,,3,
more assets to ingest/low poly models/Amir Pack/Low Poly Asset Pack 1/LowPlyCharacters_0.1.zip,7cf1595239b143f5597de5e60e8e8a3ffa37a31bfb73838a014ff0c48cc1d104,678801,no_license_entry_found,0,,,4,
more assets to ingest/low poly models/Amir Pack/low-poly food assets set/low-poly food assets set.zip,7c4692b0334b506823fd9a4d92f3195e2aa95fde27bf7e6b00c5ce8225710ada,881847,no_license_entry_found,0,,,21,
more assets to ingest/low poly models/Amir Pack/Low-Poly Horses Pack/Low-Poly Horses Pack.zip,a63d633ecd4cbe0a735b364f42a3563481b14a20107c6139da8584de03f6e6bd,1350620,no_license_entry_found,0,,,9,
