pack,raw_location,absolute_location,exists,file_count,promotion_recommendation,license_statuses,top_categories
fantasy-structures-props-pixel-art-asset-pack-3bcd7adbf62e,imports/raw/more_assets_to_ingest/fantasy-structures-props-pixel-art-asset-pack-3bcd7adbf62e,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\fantasy-structures-props-pixel-art-asset-pack-3bcd7adbf62e,True,56,hold_quarantine,no_license_evidence,"image_uncategorized:54, ui:2"
alchemy-cauldrons-pixel-art-asset-pack-fe3e5092b2b7,imports/raw/more_assets_to_ingest/alchemy-cauldrons-pixel-art-asset-pack-fe3e5092b2b7,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\alchemy-cauldrons-pixel-art-asset-pack-fe3e5092b2b7,True,53,hold_quarantine,no_license_evidence,"image_uncategorized:36, ui:17"
64x64-explo-and-power-free-c269ced7094c,imports/raw/more_assets_to_ingest/64x64-explo-and-power-free-c269ced7094c,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\64x64-explo-and-power-free-c269ced7094c,True,52,hold_quarantine,no_license_evidence,image_uncategorized:52
medievalfantasyadventurersprites-74041fa6864e,imports/raw/more_assets_to_ingest/medievalfantasyadventurersprites-74041fa6864e,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\medievalfantasyadventurersprites-74041fa6864e,True,51,hold_quarantine,no_license_evidence,"sprite_or_character:48, tileset:3"
trap-e6da1fdf15a0,imports/raw/more_assets_to_ingest/trap-e6da1fdf15a0,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\trap-e6da1fdf15a0,True,44,hold_quarantine,no_license_evidence,image_uncategorized:44
dark-rpg-gui-kit-pixel-art-asset-pack-c4fe646cab4e,imports/raw/more_assets_to_ingest/dark-rpg-gui-kit-pixel-art-asset-pack-c4fe646cab4e,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\dark-rpg-gui-kit-pixel-art-asset-pack-c4fe646cab4e,True,43,hold_quarantine,no_license_evidence,"ui:39, portrait:3, sprite_or_character:1"
500-bullet-24x24-free-f00d92cd6bd0,imports/raw/more_assets_to_ingest/500-bullet-24x24-free-f00d92cd6bd0,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\500-bullet-24x24-free-f00d92cd6bd0,True,41,hold_quarantine,no_license_evidence,image_uncategorized:41
72-character-free-74b75dec4ddb,imports/raw/more_assets_to_ingest/72-character-free-74b75dec4ddb,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\72-character-free-74b75dec4ddb,True,37,hold_quarantine,no_license_evidence,sprite_or_character:37
junkyard-heroes-0cc3b1a72f2f,imports/raw/more_assets_to_ingest/junkyard-heroes-0cc3b1a72f2f,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\junkyard-heroes-0cc3b1a72f2f,True,36,hold_quarantine,no_license_evidence,"image_uncategorized:14, sprite_or_character:14, audio_music_or_ambient:4, portrait:4"
super-package-retro-pixel-effects-32x32-pack-2-free-1b098753cbd0,imports/raw/more_assets_to_ingest/super-package-retro-pixel-effects-32x32-pack-2-free-1b098753cbd0,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\super-package-retro-pixel-effects-32x32-pack-2-free-1b098753cbd0,True,36,hold_quarantine,no_license_evidence,vfx:36
custom-border-and-panels-menu-all-part-34b7570151bb,imports/raw/more_assets_to_ingest/custom-border-and-panels-menu-all-part-34b7570151bb,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\custom-border-and-panels-menu-all-part-34b7570151bb,True,35,hold_quarantine,no_license_evidence,ui:35
super-retro-world-interior-pack-week42-d44d3f002d48,imports/raw/more_assets_to_ingest/super-retro-world-interior-pack-week42-d44d3f002d48,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\super-retro-world-interior-pack-week42-d44d3f002d48,True,32,hold_quarantine,unknown_review_required,"image_uncategorized:24, tileset:6, license_or_readme:1, nested_archive:1"
high-fantasy-heroes-ba708b186ecc,imports/raw/more_assets_to_ingest/high-fantasy-heroes-ba708b186ecc,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\high-fantasy-heroes-ba708b186ecc,True,25,hold_quarantine,no_license_evidence,"sprite_or_character:12, image_uncategorized:9, portrait:4"
